clock,cpg_id,species,genome,weight,chr,pos,pos_hg38,pos_hg19,pos_hg18,pos_mm39_lifted_from_mm10,pos_mm10_MM,ucsc_annotation,gene_strand,gene_symbol,relation_to_ucsc_island,island_context,array/data_type,human_GRCh37_coordinate,pos_hg38_EPIC,pos_hg19_EPIC,pos_hg19_450k,pos_hg19_27k,pos_hg18_450k,pos_hg18_27k,pos_hg38_lifted_from_hg19,pos_hg38_lifted_from_hg18,rowname
Horvath,cg00075967,Human,NCBI36,0.12933661,15,72282407,74203013,74495354,72282407,NA,NA,5'UTR;5'UTR;1stExon;5'UTR;TSS200;5'UTR,-,STRA6,0,-,450k,NA,NA,NA,74495354,NA,72282407,NA,74203013,74203013,1
Horvath,cg00374717,Human,NCBI36,0.00501786,17,63814740,68307004,66303145,63814740,NA,NA,5'UTR,+,ARSG,0,-,450k,NA,NA,NA,66303145,NA,63814740,NA,68307004,68307004,2
Horvath,cg00864867,Human,NCBI36,1.59976405,12,78609399,79691488,80085268,78609399,NA,NA,TSS1500,-,PAWR,S_Shore,Shore,450k,NA,NA,NA,80085268,NA,78609399,NA,79691488,79691488,3
Horvath,cg00945507,Human,NCBI36,0.05685242,7,54795171,54759984,54827677,54795171,NA,NA,TSS1500;TSS1500,-,SEC61G,S_Shore,Shore,450k,NA,NA,NA,54827677,NA,54795171,NA,54759984,54759984,4
Horvath,cg01027739,Human,NCBI36,0.10286285,9,130882559,129080459,131842738,130882559,NA,NA,TSS1500;TSS1500,+,DOLPP1,N_Shore,Shore,450k,NA,NA,NA,131842738,NA,130882559,NA,129080459,129080459,5
Horvath,cg01353448,Human,NCBI36,0.23856045,7,31693437,31687298,31726912,31693437,NA,NA,5'UTR;1stExon;5'UTR;1stExon,+,C7orf16,0,-,450k,NA,NA,NA,31726912,NA,31693437,NA,31687298,31687298,6
Horvath,cg01584473,Human,NCBI36,0.0886284,7,100450087,101020086,100663367,100450087,NA,NA,5'UTR;1stExon,+,MUC17,0,-,450k,NA,NA,NA,100663367,NA,100450087,NA,101020086,101020086,7
Horvath,cg01644850,Human,NCBI36,0.15994871,19,62885043,57681863,58193231,62885043,NA,NA,TSS200,+,ZNF551,N_Shore,Shore,450k,NA,NA,NA,58193231,NA,62885043,NA,57681863,57681863,8
Horvath,cg01656216,Human,NCBI36,0.04280553,10,31313716,30984781,31273710,31313716,NA,NA,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;Body,-,ZNF438,0,-,450k,NA,NA,NA,31273710,NA,31313716,NA,30984781,30984781,9
Horvath,cg01873645,Human,NCBI36,-0.6040564,9,73716469,71911733,74526649,73716469,NA,NA,TSS1500;TSS1500;5'UTR;1stExon,+,C9orf85,Island,Island; Shore,450k,NA,NA,NA,74526649,NA,73716469,NA,71911733,71911733,10
Horvath,cg01968178,Human,NCBI36,1.16924587,2,86418549,86337915,86565038,86418549,NA,NA,Body;TSS1500;TSS1500;TSS1500,-,REEP1,Island,Island,450k,NA,NA,NA,86565038,NA,86418549,NA,86337915,86337915,11
Horvath,cg02085507,Human,NCBI36,0.00612755,19,6690192,6739181,6739192,6690192,NA,NA,TSS1500,+,TRIP10,N_Shore,Shore,450k,NA,NA,NA,6739192,NA,6690192,NA,6739181,6739181,12
Horvath,cg02154074,Human,NCBI36,0.044757,2,74609742,74529107,74756234,74609742,NA,NA,TSS1500;TSS1500;Body,+,HTRA2,Island,Island,450k,NA,NA,NA,74756234,NA,74609742,NA,74529107,74529107,13
Horvath,cg02217159,Human,NCBI36,-0.0865126,6,63054656,62286792,62996697,63054656,NA,NA,TSS1500,-,KHDRBS2,S_Shore,Shore,450k,NA,NA,NA,62996697,NA,63054656,NA,62286792,62286792,14
Horvath,cg02331561,Human,NCBI36,0.12692885,16,2331082,2341080,2391081,2331082,NA,NA,Body;TSS1500,-,ABCA3,Island,Island,450k,NA,NA,NA,2391081,NA,2331082,NA,2341080,2341080,15
Horvath,cg02332492,Human,NCBI36,0.06277134,9,138960499,136946226,139840678,138960499,NA,NA,Body,+,C8G,S_Shore,Shore; Shelf,450k,NA,NA,NA,139840678,NA,138960499,NA,136946226,136946226,16
Horvath,cg02364642,Human,NCBI36,-0.0242703,12,56292025,57611975,58005758,56292025,NA,NA,1stExon;Body,+,GEFT,S_Shore,Shore,450k,NA,NA,NA,58005758,NA,56292025,NA,57611975,57611975,17
Horvath,cg02388150,Human,NCBI36,0.42597126,8,41284856,41308180,41165699,41284856,NA,NA,Body,-,SFRP1,N_Shore,Shore,450k,NA,NA,NA,41165699,NA,41284856,NA,41308180,41308180,18
Horvath,cg02479575,Human,NCBI36,1.87544619,19,4720653,4769641,4769653,4720653,NA,NA,TSS1500;Body,+,C19orf30,0,-,450k,NA,NA,NA,4769653,NA,4720653,NA,4769641,4769641,19
Horvath,cg02489552,Human,NCBI36,0.07374138,19,14982531,15010719,15121531,14982531,NA,NA,TSS200,+,FLJ40365,N_Shore,Shore,450k,NA,NA,NA,15121531,NA,14982531,NA,15010719,15010719,20
Horvath,cg02580606,Human,NCBI36,0.34927449,17,36780252,41370474,39526726,36780252,NA,NA,TSS1500,-,KRTHA3B,0,-,450k,NA,NA,NA,39526726,NA,36780252,NA,41370474,41370474,21
Horvath,cg02654291,Human,NCBI36,0.14058349,9,85761834,83957099,86572014,85761834,NA,NA,TSS1500,-,C9orf64,Island,Island,450k,NA,NA,NA,86572014,NA,85761834,NA,83957099,83957099,22
Horvath,cg02827112,Human,NCBI36,0.05064608,4,95348426,94208252,95129403,95348426,NA,NA,5'UTR;5'UTR;5'UTR,+,SMARCAD1,S_Shore,Shore,450k,NA,NA,NA,95129403,NA,95348426,NA,94208252,94208252,23
